period,district_code,hs_code,origin_country,customs_value_usd,vessel_weight_kg
2023-01,10,271012,CA,420000000.0,520000000.0
2023-01,10,271012,NL,280000000.0,340000000.0
2023-01,10,271012,GB,150000000.0,180000000.0
2023-01,28,271012,KR,190000000.0,210000000.0
2023-01,28,271012,SG,110000000.0,130000000.0
2023-01,52,271012,BS,140000000.0,160000000.0
2023-06,10,271012,CA,480000000.0,560000000.0
2023-06,10,271012,NL,310000000.0,360000000.0
2023-06,10,271012,GB,170000000.0,200000000.0
2023-06,28,271012,KR,220000000.0,240000000.0
2023-06,28,271012,SG,130000000.0,150000000.0
2023-06,52,271012,BS,160000000.0,180000000.0
2024-01,10,271012,CA,450000000.0,530000000.0
2024-01,10,271012,NL,290000000.0,340000000.0
2024-01,10,271012,GB,160000000.0,190000000.0
2024-01,28,271012,KR,210000000.0,230000000.0
2024-01,28,271012,SG,120000000.0,140000000.0
2024-01,52,271012,BS,150000000.0,170000000.0
2024-06,10,271012,CA,510000000.0,590000000.0
2024-06,10,271012,NL,320000000.0,370000000.0
2024-06,10,271012,GB,180000000.0,210000000.0
2024-06,28,271012,KR,240000000.0,260000000.0
2024-06,28,271012,SG,140000000.0,160000000.0
2024-06,52,271012,BS,170000000.0,190000000.0
2025-01,10,271012,CA,470000000.0,550000000.0
2025-01,10,271012,NL,300000000.0,350000000.0
2025-01,10,271012,GB,170000000.0,200000000.0
2025-01,28,271012,KR,230000000.0,250000000.0
2025-01,28,271012,SG,135000000.0,155000000.0
2025-01,52,271012,BS,165000000.0,185000000.0
