period,country,crude_production_kbd,refinery_intake_kbd,stock_change_kbd
2023-01,SA,10050.0,2650.0,-45.0
2023-01,US,12200.0,15400.0,120.0
2023-01,RU,9900.0,5600.0,10.0
2023-01,IQ,4400.0,650.0,-20.0
2023-01,AE,3050.0,1100.0,5.0
2023-06,SA,9980.0,2720.0,-60.0
2023-06,US,12600.0,16200.0,-80.0
2023-06,RU,9500.0,5450.0,-15.0
2023-06,IQ,4350.0,670.0,-10.0
2023-06,AE,3040.0,1120.0,0.0
2024-01,SA,8950.0,2580.0,-110.0
2024-01,US,13100.0,15800.0,40.0
2024-01,RU,9400.0,5300.0,-25.0
2024-01,IQ,4200.0,680.0,-15.0
2024-01,AE,2930.0,1150.0,-10.0
2024-06,SA,8930.0,2850.0,-90.0
2024-06,US,13250.0,16500.0,-150.0
2024-06,RU,9150.0,5200.0,-40.0
2024-06,IQ,4180.0,700.0,-30.0
2024-06,AE,2920.0,1180.0,-5.0
2025-01,SA,8980.0,2600.0,-40.0
2025-01,US,13350.0,16100.0,60.0
2025-01,RU,9100.0,5150.0,-10.0
2025-01,IQ,4150.0,710.0,-10.0
2025-01,AE,2940.0,1190.0,0.0
